id,nama,alamat,cluster,mitra_ad_cluster,region_channel,provinsi,kabupaten,kecamatan,kelurahan,kode_pos,call_center,email,longitude,latitude,created_at,updated-at
,HELVETIA,JL. KAPTEN MUSLIM,MEDAN,CV. SINAR TELEKOM,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,MEDAN HELVETIA,DWIKORA,20123,,taphelvetia@gmail.com,98.645105,3.5965501,,
,JOHOR,"JL. A.H NASUTION , Kel Gedung Johor, Kec Medan Johor, 20146",MEDAN,CV. SINAR TELEKOM,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,MEDAN JOHOR,GEDUNG JOHOR,20146,81263901556,tapjohor@gmail.com,98.66374283,3.5388885,,
,TIMUR,JL.CEMARA NO.48D & 48E PULO BRAYAN DARAT II,MEDAN,CV. SINAR TELEKOM,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,MEDAN TIMUR,PULO BRAYAN DARAT II,20239,,tapmedantimu@gmail.com,98.67226,3.6373279,,
,MEDAN BARU,JL. ISAKANDAR MUDA NO. 40,MEDAN,CV. SINAR TELEKOM,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,MEDAN BARU,PADANG BULAN,20155,82165872007,tapmedanbaru@gmail.com,98.661008,3.5777239,,
,MULTATULI,"Jl. H. Misbah Komp. Multatuli Blok C No. 56 Kel. AUR Kec. Medan Maimun, 20151",MEDAN,CV. SINAR TELEKOM,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,MEDAN MAIMUN,AUR,20151,82166911616,tapmultatuli@gmail.com,98.680516,3.5786806,,
,WAHIDIN,"JL.WAHIDIN NO.95 C, Kel Pandau Hulu II,  Kec Medan Area, 20211",MEDAN,CV. SINAR TELEKOM,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,MEDAN AREA,PANDAU HULU II,20211,85296333555,tapwahidin@gmail.com,98.696495,3.5881929,,
,MARELAN,JL  PLATINA RAYA NO.70,MEDAN,CV. SINAR TELEKOM,SUMBAGUT,SUMATERA UTARA,KOTA MEDAN,MEDAN MARELAN,RENGAS PULAU,20225,,tapmarelan@gmail.com,98.656335,3.69563,,
,TDC PADANG SIDEMPUAN,Jl. SM. Raja No. 136-A Sitamiang ,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,KOTA PADANG SIDEMPUAN,PADANG SIDEMPUAN SELATAN,SITAMIANG ,22723,85360696888,sahrulalamsyah22@yahoo.com,99.274058,1.38323,,
,TDC PANYABUNGAN,"Jl. Willem Iskandar, Pidoli Lombang",SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,MANDAILING NATAL,PAYABUNGAN KOTA,PIDOLI,22754,85360696888,royhan_siregar@yahoo.com,99.062786,1.4863666,,
,TDC BATANG TORU,Jl. Merdeka Barat - Desa Napa,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,TAPANULI SELATAN,BATANG TORU,BATG TORU,22738,85360696888,zul.pramanda@yahoo.com,99.562653,0.8368112,,
,TDC GUNUNG TUA,Jl. Merdeka Link.V Pasar Gunung Tua,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,PADANG LAWAS UTARA,PADANG BOLAK,PASAR GUNUNG TUA,22253,85360696888,edymirtha@ymail.com,99.264536,0.4657666,,
,TDC SIBUHUAN,Jl. Sudirman Pasar Sibuhuan,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,PADANG LAWAS,BARUMUN,BARUMUN,22763,85276412221,sindra_ritonga@yahoo.com,99.62812,1.557364,,
,TDC SINUNUKAN,Jalan Lintas Sinunukan Desa Wonosari,SIDEMPUAN,PT. MEDIA SWARA PRIMA,SUMBAGUT,SUMATRA UTARA,MANDAILING NATAL,SINUNUKAN,SINUNUKAN III,22988,85360696888,amriyunus78@yahoo.com,99.73325,1.0578283,,
